Identificador,tipo_grafo,RMSE,MAE,R2
GCLSTM_k1_h256_lags5_out6_alpha0.01,grafo_original,1.1885075834614425,0.1241277981825694,0.3692166306685121
LSTM_k1_h256_lags5_out6_alpha0.01,grafo_original,1.232111549634422,0.1270863334144923,0.3220887541797805
GCRN_k1_h256_lags13_out8_alpha0.01,grafo_original,1.2566852764202143,0.1187188717286986,0.2934198151115152
GCLSTM_k1_h256_lags13_out8_alpha0.01,grafo_original,1.2704253799127354,0.1189135353448936,0.277888497584438
LSTM_k1_h256_lags13_out8_alpha0.01,grafo_original,1.2759610589534374,0.126325356043523,0.2715635082096785
GCRN_k1_h256_lags12_out2_alpha0.01,grafo_original,1.0075079400554006,0.0970514514987329,0.5388623617752016
GCLSTM_k1_h256_lags12_out2_alpha0.01,grafo_original,1.0187324804604567,0.0973040680638906,0.528522032205242
LSTM_k1_h256_lags12_out2_alpha0.01,grafo_original,0.9331203034516145,0.1037335754473622,0.604378423429085
GCRN_k1_h256_lags3_out10_alpha0.01,grafo_original,1.4730930719633677,0.1757090018064549,0.0415676945129579
GCLSTM_k1_h256_lags3_out10_alpha0.01,grafo_original,1.46657224598124,0.1740938122502944,0.0500421395945458
LSTM_k1_h256_lags3_out10_alpha0.01,grafo_original,1.4598534080871666,0.1814897302458595,0.0586786870181176
GCRN_k1_h256_lags3_out4_alpha0.01,grafo_original,1.1153550641194303,0.122562231780191,0.4453352735310382
GCLSTM_k1_h256_lags3_out4_alpha0.01,grafo_original,1.1186768493672994,0.1238071327323075,0.4420225239815074
LSTM_k1_h256_lags3_out4_alpha0.01,grafo_original,1.189745107258963,0.1379260220132881,0.3688776246832876
GCRN_k1_h256_lags2_out8_alpha0.01,grafo_original,1.5101775863886269,0.1818474205678175,-0.0120770542834176
GCLSTM_k1_h256_lags2_out8_alpha0.01,grafo_original,1.4990240574548197,0.1804094631131199,0.0029243057905277
LSTM_k1_h256_lags2_out8_alpha0.01,grafo_original,1.452265713576249,0.1823329783623719,0.0639914670846964
GCRN_k1_h256_lags7_out2_alpha0.01,grafo_original,1.0005049300534072,0.1070253673401682,0.551257721617896
GCLSTM_k1_h256_lags7_out2_alpha0.01,grafo_original,1.003270993741048,0.1044724830910357,0.5487663214661154
LSTM_k1_h256_lags7_out2_alpha0.01,grafo_original,1.0533428458179073,0.1046876133642164,0.5023692529684072
GCRN_k1_h256_lags6_out2_alpha0.01,grafo_original,1.003105481887084,0.1075108879864475,0.5489277791355762
GCLSTM_k1_h256_lags6_out2_alpha0.01,grafo_original,1.003869882679582,0.1056317485845177,0.5482260425187839
LSTM_k1_h256_lags6_out2_alpha0.01,grafo_original,1.0743526041048002,0.1072964160494387,0.482456124231898
GCRN_k1_h256_lags2_out6_alpha0.01,grafo_original,1.3382007754938,0.1563129457491821,0.2055862058598043
GCLSTM_k1_h256_lags2_out6_alpha0.01,grafo_original,1.3240412103088168,0.15489687571796,0.2222474969890715
LSTM_k1_h256_lags2_out6_alpha0.01,grafo_original,1.3196547625909052,0.1631533687181651,0.2274636068027873
GCRN_k1_h256_lags6_out5_alpha0.01,grafo_original,1.1347504938381685,0.1173682712174167,0.4223937010910402
GCLSTM_k1_h256_lags6_out5_alpha0.01,grafo_original,1.1408268554364738,0.1168663338461483,0.4161992440073647
LSTM_k1_h256_lags6_out5_alpha0.01,grafo_original,1.2029783101277725,0.1200686780949915,0.3508575518815557
GCRN_k1_h256_lags13_out11_alpha0.01,grafo_original,1.325770796955832,0.1253323235471607,0.2228269203625633
GCLSTM_k1_h256_lags13_out11_alpha0.01,grafo_original,1.335148300616028,0.1262546363481521,0.2117935796980511
LSTM_k1_h256_lags13_out11_alpha0.01,grafo_original,1.3400437455379306,0.1319981906703441,0.2059951214507604
GCRN_k1_h256_lags1_out7_alpha0.01,grafo_original,1.894474713571652,0.2384370962259818,-0.593688346218169
GCLSTM_k1_h256_lags1_out7_alpha0.01,grafo_original,1.821684889783576,0.2293533751833358,-0.4711178590648915
LSTM_k1_h256_lags1_out7_alpha0.01,grafo_original,1.5430987820403854,0.1930132898295544,-0.0543947496211551
GCRN_k1_h256_lags14_out4_alpha0.01,grafo_original,1.1291704684142403,0.1068636808017539,0.4191104203889343
GCLSTM_k1_h256_lags14_out4_alpha0.01,grafo_original,1.1370275664002922,0.106281005973906,0.4109830089372807
